taxon,level,source,description,desc_len
Adelidae,family,butterfliesandmoths.org,"The Adelidae are members of the Superfamily Incurvarioidea. There are more than 300 species in this family distributed worldwide (except for New Zealand), with 13 species in Canada and the United States. Adelids are best known for their enormously long antennae, often 2.5 to 3 times the forewing length. Antennae are usually much longer in the male. Adults of some groups are small, diurnal, and brightly colored, while adults of other groups are crepuscular or nocturnal and dull colored. Both sexes have a well-developed proboscis for nectar. Females insert eggs into the base of the ovaries of unopened flowers or into leaves. Little is known about the larval biology of these relatively conspicuous moths. Larvae of some species construct flat, portable cases of silk covered by debris and feed on fallen or lower leaves of host plants.",841
Adelidae,family,wikipedia.org,"The Adelidae or fairy longhorn moths are a family of monotrysian moths in the lepidopteran infraorder Heteroneura. The family was first described by Charles Théophile Bruand d'Uzelle in 1851. Most species have at least partially metallic, patterned coloration and are diurnal, sometimes swarming around the tips of branches with an undulating flight. Others are crepuscular and have a drab coloration. Fairy longhorn moths have a wingspan of 4–28 millimeters, and males often have especially long antennae, 1–3 times as long as the forewing.
They are widespread around the world and can be found over much of North America and Eurasia from April to June. About 50 species occur in Europe, of which most widely noted is the green longhorn (Adela reaumurella) which can sometimes reach great abundance; due to climate change its peak flying season is shifting towards spring. In general, they are more plentiful in the Northern Hemisphere, but the family occurs in the Neotropics, sub-Saharan Africa, South-East Asia and Australia too.
Adelidae appear in certain plants, in which the females insert their eggs or just lay among leaf litter, and the caterpillars make a case, completing their development on the ground. Fairy longhorn moths feed in sunshine on nectar from the flowers of herbaceous (woody) plants.


== Systematics ==
Fairy longhorn moths belong to the superfamily Adeloidea, one of the basal (""monotrysian"") branches of the advanced moth infraorder Heteroneura. By lepidopteran standards, they are thus still rather primitive micromoths. But like other Heteroneura, they already possess the apomorphic sucking proboscis – usually considered a defining feature of Lepidoptera, but the most ancestral moths still live on solid food which they chew.
The Adelidae were previously placed as the subfamily Adelinae within the family Incurvariidae.


=== Subfamilies ===
The Adelidae are usually divided into two subfamilies, but most genera are of uncertain or basal relationships. Selected species are also listed:

Subfamily Adelinae

Adela Latreille, 1796
Adela croesella
Adela reaumurella – green longhorn
Cauchas Zeller, 1839
Cauchas rufimitrella
Nemophora Illiger & Hoffmannsegg, 1798 (tentatively placed here)
Nemophora degeerella – longhorn moth
Nemophora metallica
Nemophora ochsenheimerella
Subfamily Nematopogoninae

Ceromitia Zeller, 1852 (tentatively placed here)
Ceromitia iolampra
Nematopogon
Incertae sedis

Subclemensia
Trichofrons
The genus Tridentaforma is sometimes placed among the Adelidae incertae sedis too; others assign it to the closely related Prodoxidae.


== Footnotes ==


== References ==
Davis, D. R. (1999): The Monotrysian Heteroneura. In: Kristensen, N. P. (ed.): Handbuch der Zoologie/Handbook of Zoology (Volume IV – Arthropoda: Insecta. Part 35: Lepidoptera, Moths and Butterflies 1): 65–90. Walter de Gruyter, Berlin & New York. ISBN 3-11-015704-7
Edwards, E. D. (2007): Australian Faunal Directory – Adelidae. Version of 28 June 2007. Retrieved 9 May 2010.
Fauna Europaea (FE) (2009): Adelidae. Version 2.1, 22 December 2009. Retrieved 3 May 2010.
Kuchlein, J. H. & Ellis, W. N. (2004): Climate-induced changes in the microlepidoptera fauna of the Netherlands and the implications for nature conservation. Journal of Insect Conservation 1(2): 73–80. doi:10.1023/A:1018483026265 PDF fulltext
Savela, Markku (27 December 2018). ""Adelidae Bruand, 1850"". Lepidoptera and Some Other Life Forms. Retrieved 4 March 2020.


== External links ==

UK Adelidae key
Kimber, Ian. ""Families: Adelidae"". UKMoths. Retrieved 4 March 2020.
McLeod, Robin (25 September 2018). ""Family Adelidae - Fairy Moths"". BugGuide. Retrieved 4 March 2020.",3673
Adelidae,family,artfakta.se,"Familjen antennmalar finns representerad i samtliga världsdelar och omfattar ungefär 300 arter fördelade på elva släkten. I Europa finns ungefär 50 ­arter, och i Norden 24 arter fördelade på fyra släkten. ­Antennerna är oftast extremt långa och huvudet lurvigt, vilket gör arterna lätta att känna igen till familj. Många arter är dock svåra att skilja från varandra och honorna kan vara särskilt problematiska att bestämma.",423
Megalopygidae,family,butterfliesandmoths.org,"The Flannel Moths are members of the Superfamily Zygaenoidea. These are medium-sized moths with stout, hairy bodies. Eleven species are found in North America. Wings are typically broad with some wrinkled hair-scales on the forewing, and they are usually white, yellow, or brownish, with almost no markings. The wingspan is 2.4-4 cm. Larvae have stinging hairs hidden among tufts of dense, soft hairs.",401
Megalopygidae,family,wikipedia.org,"The flannel moths or crinkled flannel moths (scientific name Megalopygidae) are a family of insects.


== Distribution and habitat ==
There is only one species of Megalopyge in the eastern United States, although there are several throughout the Neotropics. Only five species of the family are known to exist in Florida: three species of Lagoa and one species each of Megalopyge and Norape. While 236 species of Megalopyge are found from Mexico to Argentina, only 11 species have been identified in North America north of Mexico. Only the New World is home to the Megalopygae.


== Life cycle and behavior ==
Adult flannel moths are stout-bodied, and very hairy. Females have thin antennae while males' are feather-like. Larvae are called puss caterpillars and, with their long hairs, resemble cotton balls.  They are eaten by green lacewing insects and the Anolis lizards. They have venomous spines that can cause a painful sting and inflammation lasting for several days. In some cases, the sting may cause headache, nausea, and shock-like symptoms. Perhaps the most notorious for stinging is the caterpillar of Megalopyge opercularis. Caterpillars have seven pairs of prolegs, while other Lepidopterae have five or fewer pairs. They feed on a wide variety of deciduous trees and shrubs.


== Genera ==


== References ==


== Sources ==
Natural History Museum genus database
""Insects of Cedar Creek, Minnesota"". cedarcreek.umn.edu. Archived from the original on 2022-04-07. Retrieved 2006-05-11.
BugGuide
USGS--Caterpillars of Eastern Forests
Auburn University Archived 2011-09-27 at the Wayback Machine
Moths of Borneo—lists the family as neotropical
Virginia Tech Cooperative Extension
Ohio State University


== External links ==
 Media related to Megalopygidae at Wikimedia Commons",1788
Megalopygidae,family,artfakta.se,,0
Mimallonidae,family,butterfliesandmoths.org,"The Mimallonidae are the sole family of the Superfamily Mimallonoidea. They are primarily distributed in the New World tropics, with about 200 species described and 4 species found in North America. Mimallonid adults are medium to large, stout bodied, hairy moths with broad wings (wingspan 2-5 cm). Larvae are thick in the middle, tapering toward ends. Later stages build unique, open-ended cases or ""sacks"" of silk and leaves in which larvae overwinter. Pupation is in late spring.",483
Mimallonidae,family,wikipedia.org,"Mimallonidae (mimallonids), sometimes known as ""sack-bearer"" moths for the larval case-building behavior, are a family of Lepidoptera containing over 300 named species in 43 genera. These moths are found only in the New World, with most taxa occurring in the Neotropics. Adult moths are externally similar to those belonging to some of the other Macroheterocera families Bombycoidea and Drepanoidea, and thus have been variously treated as belonging to either one of these or other superfamilies.


== Distribution ==
Mimallonids are restricted to the New World, and are distributed in North America, Central America, South America, and the Caribbean (Cuba and The Bahamas). The vast majority of genera and species are found in the tropical regions of the New World, with only five described species from the United States.


== Biology ==
Not much has been published on the natural history of adult Mimallonidae, though most species are thought to be nocturnal. At least three species have diurnal males. Young caterpillars live inside of folded leaves or beneath silken networks, and build portable or semi-portable cases out of silk, frass, and plant material as they grow. The cases are open on either end and vary from irregular in structure to spindle-shaped. The openings of the cases can be blocked by the head and/or the flattened anal plate of the last segment of the body. The sack-like case-making behavior of the caterpillars have earned them the common name ""sack-bearers"".
Mimallonidae larvae feed on several families of plants, including (but not limited to): Anacardiaceae, Clusiaceae, Combretaceae, Fagaceae, Melastomataceae, Myrtaceae and Rubiaceae. Research at the Area de Conservación, Guanacaste, Costa Rica has resulted in the rearing of many species of Mimallonidae, including some from several additional families of plants.


== Systematics and evolution ==
The current consensus, especially in works based on phylogenetic results, consider Mimallonidae to be the sole family of Mimallonoidea. Other phylogenetic studies of all major Lepidoptera lineages support the placement of Mimallonidae as sister to all Macroheterocera, but within the broader clade Obtectomera. This phylogenetic placement means that mimallonid moths are not more closely related to any one family of Lepidoptera, but are equally related (share a common ancestor with) all members of the extremely diverse clade Macroheterocera. Morphological features, particularly of the larvae, support the uniqueness of this family and distinctness from Macroheterocera.
The systematic relationships with Mimallonidae have been subject to two revisions, resulting in two different classification schemes. William Schaus revised the family and named most of the genera, he then separated the genera into two subfamilies: Lacosominae and Mimalloninae. These subfamilies were based on the presence (Lacosominae) or the absence (Mimalloninae) of the frenulum. It was later realized that this character varies within genera, and thus was deemed a sympleisiomorphy. Using molecular phylogenetics, specifically with the technique of anchored hybrid enrichment, the family was reorganized based on the recognition and naming of robustly supported clades, which were further strengthened with morphological apomorphies. The clades which were robustly supported across all analyses were assigned subfamily status, resulting in recognition of seven subfamilies in Mimallonidae. Using both molecular and morphological phylogenetics, all 42 genera (including some newly described ones) were assigned to the named clades. The 300+ species of the family, too, have been formally classified according to their phylogenetic arrangement.
Recently, many of the species formally placed in the genus Cicinnus have been transferred to Gonogramma, making Gonogramma one of the most diverse mimallonid genera.


=== Subfamilies, tribes, and genera ===
Below are the named clades of Mimallonidae, with their constituent genera assigned to their subfamily and tribe (wherever applicable).

Zaphantinae
Zaphanta Dyar, 1910
Roelofinae
Roelofa Schaus, 1928
Meneviinae
Cunicumara St Laurent, 2016
Menevia Schaus, 1928
Tolypida Schaus, 1928
Aurorianinae
Auroriana St Laurent and C. Mielke, 2016
Mimalloninae
Eadmuna Schaus, 1928
Macessoga Schaus, 1928
Mimallo Hübner, 1820
Mimallodes St Laurent and Becker, 2020
Tostallo St Laurent and C. Mielke, 2016
Lacosominae
Alheitini
Adalgisa Schaus, 1928
Alheita Schaus, 1928
Arianula Herbin, 2012,
Fatellalla St Laurent and Kawahara, 2019
Herbinalla St Laurent and Kawahara, 2018
Tarema Schaus, 1896
Thaelia Herbin, 2016
Lacosomini
Citralla St Laurent and Kawahara, 2019
Lacosoma Grote, 1864
Vanenga Schaus, 1928
Trogopterini
Reinmara Schaus, 1928
Trogoptera Herrich-Schäffer, [1856]
Druenticinae
Druenticini:
Druentica Strand, 1932
Lepismalla St Laurent and Kawahara, 2019
Micrallo St Laurent and C. Mielke, 2016
Pamea Walker, 1855
Procinnus Herbin, 2016
Ulaluma St Laurent and Kawahara, 2018
Luramini
Lurama Schaus, 1928
Ulmara Schaus, 1928
Cicinninae
Bedosiini
Bedosia Schaus, 1928
Bedosiallo St Laurent and Kawahara, 2018
Cicinnini
Aceclostria Vuillot, 1893
Aleyda Schaus, 1928
Arcinnus Herbin, 2016
Cicinnus Blanchard, 1852
Cerradocinnus St Laurent, MIelke, and Kawahara, 2020
Gonogramma Boisduval, 1872
Euphaneta Schaus, 1928
Isoscella St Laurent and Carvalho, 2017
Roelmana Schaus, 1928
Psychocampini
Biterolfa Schaus, 1928
Psychocampa Grote and Robinson, 1867


== Importance to humans ==
Mimallonidae have been reported as pests of some economically significant crops. In Surinam, Mimallo amilia has been noted as a pest of guava (Psidium gaujava). In Brazil, M. amilia is a known pest of eucalyptus (Eucalyptus urophylla) and Psychocampa callipius a pest of cashew (Anacardium occidentale).
In addition to some Mimallonidae species being regarded as pests, others have been considered as potential biological controls of invasive plants. Species belonging to the genus Druentica have been considered as potential control agents of Miconia calvescens (where it is invasive throughout the Pacific Islands, including Hawaii and Australia) and Clidemia hirta in Hawaii. Aceclostria mus has been evaluated as a potential control agent of the Brazilian pepper tree (Schinus terebinthifolius) in the United States.


== References ==


== Sources ==


== External links ==
ACG Page of images of Mimallonidae from Area de Conservación Guanacaste, Costa Rica.",6458
Mimallonidae,family,artfakta.se,,0
Erebidae,family,butterfliesandmoths.org,The Erebidae are members of the superfamily Noctuoidea. This family was formerly a subfamily of Noctuidae but it now includes several other former subfamilies of Noctuidae.,172
