taxon,level,source,description,desc_len
Adela,genus,butterfliesandmoths.org,,0
Adela,genus,wikipedia.org,,0
Adela,genus,artfakta.se,"Arterna i släktet Adela förekommer främst i Palearktis men även i Afrika och Nordamerika. I Europa finns 12 arter och i Norden fyra. I världen finns troligen omkring 100 arter i släktet, men antalet är högst osäkert eftersom många av de beskrivna arterna sannolikt är synonymer eller tillhör andra släkten av antennmalar. Fjärilarna är medelstora och har metallglänsande framvingar, oftast utan distinkt teckning. Hanens antenn är mer än dubbelt så lång som framvingen medan honans antenn är 1–1,5 gånger så lång som framvingen. Liksom hos arterna i Nemophora har hanen förstorade ögon. Den tydligaste skillnaden jämfört med Nemophora är att arterna i släktet Adela har unika, utåtriktade, krokformiga taggar på antennsegmenten 8, 9 och/eller 10. Omedelbart efter att ägget kläckts tillverkar larven en hylsa som byts ut mot en större allt eftersom larven tillväxer.",866
Trosia,genus,butterfliesandmoths.org,,0
Trosia,genus,wikipedia.org,"Trosia is a genus of moths in the family Megalopygidae described by Jacob Hübner in 1820.


== Species ==
Trosia acea Hopp, 1930
Trosia bicolor (Möschler, 1883)
Trosia circumcincta (Schaus, 1905)
Trosia dimas (Cramer, 1775)
Trosia fallax (Felder, 1874)
Trosia flavida Dognin, 1911
Trosia nigropuncta Druce, 1909
Trosia nigropunctigera D. S. Fletcher, 1982
Trosia nigrorufa (Walker, 1865)
Trosia ochracea Hopp, 1922
Trosia pellucida (Möschler, 1877)
Trosia pulla Forbes, 1942
Trosia roseipuncta (Druce, 1906)
Trosia rufa (E. D. Jones, 1912)
Trosia semirufa (Druce, 1906)
Trosia xinga (Dognin, 1922)
Trosia zernyi Hopp, 1930
Trosia zikani Hopp, 1922


== References ==

Beccaloni, G.; Scoble, M.; Kitching, I.; Simonsen, T.; Robinson, G.; Pitkin, B.; Hine, A.; Lyal, C., eds. (2003). ""​Trosia​"". The Global Lepidoptera Names Index. Natural History Museum. Retrieved April 23, 2018.",879
Trosia,genus,artfakta.se,,0
Thoscora,genus,butterfliesandmoths.org,,0
Thoscora,genus,wikipedia.org,"Thoscora is a genus of moths in the family Megalopygidae.


== Species ==
Thoscora rubrivena (E. D. Jones, 1912)
Thoscora omayena (Schaus, 1904)
Thoscora brugea (Schaus, 1904)
Thoscora acca (Schaus, 1892)
Thoscora acca aterrima (Hopp, 1930)


== References ==
Beccaloni, G.; Scoble, M.; Kitching, I.; Simonsen, T.; Robinson, G.; Pitkin, B.; Hine, A.; Lyal, C., eds. (2003). ""​Thoscora​"". The Global Lepidoptera Names Index. Natural History Museum. Retrieved May 16, 2018.",471
Thoscora,genus,artfakta.se,,0
Norape,genus,butterfliesandmoths.org,,0
Norape,genus,wikipedia.org,"Norape is a genus of moths in the family Megalopygidae. The genus was erected by Francis Walker in 1855.


== Species ==
Norape acuta Hopp, 1927
Norape albilineata (Hopp, 1927)
Norape argyrorrhoea Hübner, 1825
Norape arietina Hopp, 1927
Norape beggoides (Dyar, 1910)
Norape cana (Dognin, 1907)
Norape capreolata Hopp, 1927
Norape caprina Hopp, 1927
Norape catharus Dyar, 1910
Norape cingulata E. D. Jones, 1921
Norape consolida Hopp, 1927
Norape cornuta Hopp, 1927
Norape cretacea (Hopp, 1922)
Norape damana Hopp, 1930
Norape discrepans (Wallengren, 1860)
Norape draudti Hopp, 1927
Norape dyarensis Hopp, 1929
Norape foliata Hopp, 1927
Norape fuscoapicata Dognin, 1924
Norape glabra Hopp, 1927
Norape hadaca Dyar, 1910
Norape incolorata (E. D. Jones, 1921)
Norape insinuata Hopp, 1927
Norape isabela Hopp, 1935
Norape jaramillo (Dognin, 1890)
Norape jordani Hopp, 1927
Norape flavescens Dognin, 1914
Norape laticosta (Dyar, 1899)
Norape mexicana (Schaus, 1892)
Norape miasma Dyar, 1910
Norape miasmoides Hopp, 1927
Norape muelleri Hopp, 1927
Norape nevermanni Hopp, 1927
Norape nigrovenosa (Druce, 1906)
Norape obtusa Hopp, 1927
Norape ovina (Sepp, 1852)
Norape pampana Hopp, 1927
Norape plumosa (Butler, 1877)
Norape plumosa angustior Hopp, 1927
Norape plumosa biacuta Hopp, 1927
Norape puella Walker, 1855
Norape rothschildi Hopp, 1927
Norape schausi Hopp, 1927
Norape tamsi Hopp, 1927
Norape taurina Hopp, 1927
Norape tener (Druce, 1897)
Norape testudinalis Hopp, 1929
Norape tosca Hopp, 1927
Norape truncata Hopp, 1927
Norape truncata cavata Hopp, 1927
Norape truncata hastata Hopp, 1927
Norape undulata E. D. Jones, 1912
Norape variabilis Hopp, 1927
Norape venata Schaus, 1900
Norape vesta (Schaus, 1892)
Norape virgo (Butler, 1877)
Norape walkeri (Butler, 1877)
Norape xantholopha Dyar, 1914
Norape xantholopha major Hopp, 1927
Norape xantholopha minor Hopp, 1927
Norape zikaniana Hopp, 1927


== References ==
Beccaloni, G.; Scoble, M.; Kitching, I.; Simonsen, T.; Robinson, G.; Pitkin, B.; Hine, A.; Lyal, C., eds. (2003). ""​Norape​"". The Global Lepidoptera Names Index. Natural History Museum. Retrieved May 16, 2018.",2126
Norape,genus,artfakta.se,,0
Mesoscia,genus,butterfliesandmoths.org,,0
Mesoscia,genus,wikipedia.org,"Mesoscia is a genus of moths in the family Megalopygidae.


== Species ==
Mesoscia anguilinea Schaus, 1912
Mesoscia dumilla Dyar, 1913
Mesoscia dyari Schaus, 1912
Mesoscia eriophora (Sepp, 1848)
Mesoscia guttifascia (Walker, 1856)
Mesoscia itatiayae Hopp, 1927
Mesoscia latifera Walker, 1869
Mesoscia lorna Schaus, 1905
Mesoscia pascora Schaus, 1900
Mesoscia procera Hopp, 1930
Mesoscia pusilla (Stoll, 1782)
Mesoscia terminata Schaus, 1905
Mesoscia unifascia (Dognin, 1923)
Mesoscia aspersa Dognin, 1922


== References ==
Beccaloni, G.; Scoble, M.; Kitching, I.; Simonsen, T.; Robinson, G.; Pitkin, B.; Hine, A.; Lyal, C., eds. (2003). ""​Mesoscia​"". The Global Lepidoptera Names Index. Natural History Museum. Retrieved May 16, 2018.",735
Mesoscia,genus,artfakta.se,,0
Macara,genus,butterfliesandmoths.org,,0
Macara,genus,wikipedia.org,"Macará is a city in the Loja Province of Ecuador. It is the seat of the Macará Canton and is located on the border between Ecuador and Peru. 
The population as of the 2001 census was 11,483.
It is served by José María Velasco Ibarra Airport.


== Climate ==


== See also ==
List of cities in Ecuador


== References ==",319
Macara,genus,artfakta.se,,0
Hysterocladia,genus,butterfliesandmoths.org,,0
Hysterocladia,genus,wikipedia.org,"Hysterocladia is a genus of moths in the family Megalopygidae.


== Species ==
Hysterocladia conjuncta Hopp, 1927
Hysterocladia corallocera Felder, 1874
Hysterocladia elongata Hopp, 1927
Hysterocladia eriphua Dognin, 1914
Hysterocladia ferecostata Hopp, 1927
Hysterocladia latiunca Hopp, 1927
Hysterocladia lena (Schaus, 1912)
Hysterocladia mirabilis (Schaus, 1905)
Hysterocladia primigenia Hopp, 1927
Hysterocladia roseicollis Dognin, 1914
Hysterocladia roseicollis vicina Hopp, 1927
Hysterocladia servilis Hopp, 1927
Hysterocladia tolimensis Hopp, 1927
Hysterocladia unimana Hopp, 1943
Hysterocladia werneri Hopp, 1927


== References ==
Beccaloni, G.; Scoble, M.; Kitching, I.; Simonsen, T.; Robinson, G.; Pitkin, B.; Hine, A.; Lyal, C., eds. (2003). ""​Hysterocladia​"". The Global Lepidoptera Names Index. Natural History Museum. Retrieved May 16, 2018.",856
Hysterocladia,genus,artfakta.se,,0
Coamorpha,genus,butterfliesandmoths.org,,0
Coamorpha,genus,wikipedia.org,"Coamorpha is a genus of moths in the family Megalopygidae. It has neotropical distribution in Central America.


== Species ==
There are two species:

Coamorpha glutina  (Schaus, 1920) – Guatemala
 Coamorpha innoxia  (Schaus, 1910) – Costa Rica 


== References ==",264
Coamorpha,genus,artfakta.se,,0
Aithorape,genus,butterfliesandmoths.org,,0
Aithorape,genus,wikipedia.org,"Aithorape is a genus of moths in the family Megalopygidae.


== Species ==
Aithorape albicostata Hopp, 1927
Aithorape analis Hopp, 1930
Aithorape candelabraria Hopp, 1927
Aithorape flammicornis (Schaus, 1905)
Aithorape frontalis (Schaus, 1920)
Aithorape longanella Hopp, 1927
Aithorape roseicornis (Dognin, 1899)
Aithorape spinulata Hopp, 1927


== References ==
Beccaloni, G.; Scoble, M.; Kitching, I.; Simonsen, T.; Robinson, G.; Pitkin, B.; Hine, A.; Lyal, C., eds. (2003). ""​Aithorape​"". The Global Lepidoptera Names Index. Natural History Museum. Retrieved May 16, 2018.",575
Aithorape,genus,artfakta.se,,0
Repnoa,genus,butterfliesandmoths.org,,0
