taxon,level,source,description,desc_len
Adela ridingsella,species,wikipedia.org,"Adela ridingsella,  Ridings' fairy moth, is a moth of the Adelidae family or fairy longhorn moths. It was described by James Brackenridge Clemens in 1864. It is widespread in eastern North America, from Nova Scotia, Ontario, Quebec and Maine to Pennsylvania and the mountains of North Carolina. Adults are on wing from June to July.
Larvae found in petiole galls on Parthenocissus quinquefolia might belong to this species. The larvae later formed external cases.


== References ==",482
Adela ridingsella,species,ukmoths.org.uk,,0
Adela ridingsella,species,butterfliesandmoths.org,,0
Adela ridingsella,species,nrm.se,,0
Adela ridingsella,species,animaldiversity.org,,0
Adela ridingsella,species,artfakta.se,,0
Trosia semirufa,species,wikipedia.org,"Trosia semirufa is a moth of the Megalopygidae family. It was described by Druce in 1906.


== References ==",108
Trosia semirufa,species,ukmoths.org.uk,,0
Trosia semirufa,species,butterfliesandmoths.org,,0
Trosia semirufa,species,nrm.se,,0
Trosia semirufa,species,animaldiversity.org,,0
Trosia semirufa,species,artfakta.se,,0
Trosia misda,species,wikipedia.org,"The first description of this species was by Pieter Cramer in 1775, who named it Bombyx dimas. Subsequent authors placed it in the genera Chrysauge, Idalus, and Sciathos until Harrison Dyar, following Hübner in 1822, assigned it to Trosia, where it has remained.",262
Trosia misda,species,ukmoths.org.uk,,0
Trosia misda,species,butterfliesandmoths.org,,0
Trosia misda,species,nrm.se,,0
Trosia misda,species,animaldiversity.org,,0
Trosia misda,species,artfakta.se,,0
Trosia incostata,species,wikipedia.org,"The first description of this species was by Pieter Cramer in 1775, who named it Bombyx dimas. Subsequent authors placed it in the genera Chrysauge, Idalus, and Sciathos until Harrison Dyar, following Hübner in 1822, assigned it to Trosia, where it has remained.",262
Trosia incostata,species,ukmoths.org.uk,,0
Trosia incostata,species,butterfliesandmoths.org,,0
Trosia incostata,species,nrm.se,,0
Trosia incostata,species,animaldiversity.org,,0
Trosia incostata,species,artfakta.se,,0
Trosia fallax,species,wikipedia.org,"Trosia fallax is a moth of the Megalopygidae family. It was described by Felder in 1874.


== References ==",107
Trosia fallax,species,ukmoths.org.uk,,0
Trosia fallax,species,butterfliesandmoths.org,,0
Trosia fallax,species,nrm.se,,0
Trosia fallax,species,animaldiversity.org,,0
Trosia fallax,species,artfakta.se,,0
Trosia dimas,species,wikipedia.org,"The first description of this species was by Pieter Cramer in 1775, who named it Bombyx dimas. Subsequent authors placed it in the genera Chrysauge, Idalus, and Sciathos until Harrison Dyar, following Hübner in 1822, assigned it to Trosia, where it has remained.",262
Trosia dimas,species,ukmoths.org.uk,,0
Trosia dimas,species,butterfliesandmoths.org,,0
Trosia dimas,species,nrm.se,,0
Trosia dimas,species,animaldiversity.org,,0
Trosia dimas,species,artfakta.se,,0
Thoscora ribbei,species,wikipedia.org,,0
Thoscora ribbei,species,ukmoths.org.uk,,0
Thoscora ribbei,species,butterfliesandmoths.org,,0
Thoscora ribbei,species,nrm.se,,0
Thoscora ribbei,species,animaldiversity.org,,0
Thoscora ribbei,species,artfakta.se,,0
Norape ovina,species,wikipedia.org,"Norape ovina, the white flannel moth, is a moth of the Megalopygidae family. In the United States, it is found from Washington, D.C. south to Florida, west to Montana and Texas. Its range extends further south through Mexico, Guatemala and Panama to Venezuela, Suriname and Bolivia.

Its wingspan is 27–33 mm. Adults are on wing from April to May and from July to October. There are two per year in the north, likely more in south.
The stinging larvae feed on hackberry and redbud.


== External links ==
Bug Guide",514
Norape ovina,species,ukmoths.org.uk,,0
Norape ovina,species,butterfliesandmoths.org,,0
Norape ovina,species,nrm.se,,0
Norape ovina,species,animaldiversity.org,,0
Norape ovina,species,artfakta.se,,0
Norape nigrovenosa,species,wikipedia.org,"Norape nigrovenosa is a moth of the family Megalopygidae. It was described by Herbert Druce in 1906.


== References ==",119
Norape nigrovenosa,species,ukmoths.org.uk,,0
Norape nigrovenosa,species,butterfliesandmoths.org,,0
Norape nigrovenosa,species,nrm.se,,0
Norape nigrovenosa,species,animaldiversity.org,,0
Norape nigrovenosa,species,artfakta.se,,0
Norape nevermanni,species,wikipedia.org,"Norape nevermanni is a moth of the family Megalopygidae. It was described by Walter Hopp in 1927. It is found in Costa Rica.


== References ==",143
Norape nevermanni,species,ukmoths.org.uk,,0
Norape nevermanni,species,butterfliesandmoths.org,,0
Norape nevermanni,species,nrm.se,,0
Norape nevermanni,species,animaldiversity.org,,0
Norape nevermanni,species,artfakta.se,,0
Norape argyrorrhoea,species,wikipedia.org,"Norape argyrorrhoea is a moth of the Megalopygidae family. It was described by Jacob Hübner in 1825. It is found in Argentina, Trinidad, Brazil, Guyana, Venezuela, Paraguay, Panama, Costa Rica and Mexico.
The wingspan is about 24 mm for males and 30 mm for females. Adults are white, with a faint creamy tint. The pectus and femora are smoky black and the antennae testaceous.


== References ==",395
Norape argyrorrhoea,species,ukmoths.org.uk,,0
Norape argyrorrhoea,species,butterfliesandmoths.org,,0
Norape argyrorrhoea,species,nrm.se,,0
Norape argyrorrhoea,species,animaldiversity.org,,0
Norape argyrorrhoea,species,artfakta.se,,0
Mesoscia unifasciata,species,wikipedia.org,,0
Mesoscia unifasciata,species,ukmoths.org.uk,,0
Mesoscia unifasciata,species,butterfliesandmoths.org,,0
Mesoscia unifasciata,species,nrm.se,,0
Mesoscia unifasciata,species,animaldiversity.org,,0
Mesoscia unifasciata,species,artfakta.se,,0
Mesoscia terminata,species,wikipedia.org,"Mesoscia terminata is a moth of the family Megalopygidae. It was described by William Schaus in 1905. It is found in Costa Rica and French Guiana.
The wingspan is 27 mm. The forewings are grey, with the costa finely light brown and the apex whitish. The outer margin below vein 7 is broadly light brown, crossed by black veins and fine black streaks between the veins. There is a faint subterminal white shade and a postmedial dentate shade, where the grey and brown meet. The hindwings are black, with the outer margin below the apex creamy white.


== References ==",567
Mesoscia terminata,species,ukmoths.org.uk,,0
Mesoscia terminata,species,butterfliesandmoths.org,,0
Mesoscia terminata,species,nrm.se,,0
Mesoscia terminata,species,animaldiversity.org,,0
Mesoscia terminata,species,artfakta.se,,0
Mesoscia dyari,species,wikipedia.org,"Mesoscia dyari is a moth of the family Megalopygidae. It was described by William Schaus in 1912. It is found in Costa Rica.
The wingspan is 29 mm. The costal edge of the forewings is fuscous brown, below it (for two-thirds) is a broad yellowish-white shade, extending at the base to the inner margin. The medial space is fuscous brown, extending to the apex and outer margin below the submedian, where it is met by a paler grey-brown terminal broad shade, which does not extend above vein 4. The outer space is otherwise yellowish white, its inner edge oblique from the apex to vein 5, then incurved, tapering to a point above the submedian. The hindwings are white, the costa broadly, also the inner margin, and the outer margin near the anal angle more narrowly shaded with fuscous grey.


== References ==",809
Mesoscia dyari,species,ukmoths.org.uk,,0
Mesoscia dyari,species,butterfliesandmoths.org,,0
Mesoscia dyari,species,nrm.se,,0
Mesoscia dyari,species,animaldiversity.org,,0
Mesoscia dyari,species,artfakta.se,,0
Macara argentea,species,wikipedia.org,"Macara argentea is a moth of the family Megalopygidae. It was described by Herbert Druce in 1897. It is found in Panama and Ecuador.
The forewings and hindwings are pure white. The forewings crossed from the costal to the inner margin by two broad bands of silvery scales, the outer margin edged with silver.


== References ==",327
Macara argentea,species,ukmoths.org.uk,,0
Macara argentea,species,butterfliesandmoths.org,,0
Macara argentea,species,nrm.se,,0
Macara argentea,species,animaldiversity.org,,0
Macara argentea,species,artfakta.se,,0
