Adela ridingsella
Trosia semirufa
Trosia misda
Trosia incostata
Trosia fallax
Trosia dimas
Thoscora ribbei
Norape ovina
Norape nigrovenosa
Norape nevermanni
Norape argyrorrhoea
Mesoscia unifasciata
Mesoscia terminata
Mesoscia dyari
Macara argentea
Macara alydda
Hysterocladia eriphua
Coamorpha innoxia
Aithorape roseicornis
Repnoa imparilis
Aleyda accipiter
Podalia walkerensis
Bedosia dulcis
Bedosia ligina
Lacosoma valera
Lacosoma syrinx
Lacosoma lygia
Lacosoma briasia
Alheita pulla
Alheita beroalda
Druentica zikana
Druentica partha
Druentica inscita
Druentica alsa
Roelmana prominens
Roelmana maloba
Cicinnus tuisana
Cicinnus solvens
Cicinnus pudens
Cicinnus latris
Cicinnus incerta
Bedosiallo volucris
Bedosia turgida
Bedosia fraterna
Trogoptera althora
Podalia tympania
Podalia orsilochus
Eloria festiva
Caviria vinasia
Caviria regina
Caviria comes
Vipsophobetron marisa
Vipsophobetron davisi
Vipsania rosabella
Vipsania melanois
Venadicodia ruthaea
Venadicodia denderia
Venadicodia caneti
Tanadema neutra
Talima weissi
Talima rubicolor
Talima erojasi
Talima emilia
Talima beckeri
Talima aurora
Semyra irena
Eloria lucida
Podalia thanathos
Eloria moesta
Eloria sixola
Podalia dimidiata
Podalia contigua
Megalopyge tharops
Megalopyge salebrosa
Megalopyge opercularis
Megalopyge lanata
Megalopyge lampra
Megalopyge hina
Megalopyge dyari
Thagona votis
Thagona tibialis
Thagona errans
Sarsina purpurascens
Sarsina festiva
Sarsina electa
Orgyia povera
Orgyia costarricensis
Eloria torrida
Eloria subnuda
Eloria onaba
Semyra distincta
Trogoptera rumina
Mimallo amilia
Cropia connecta
Cropia cedica
Cropia aleuca
Catabenoides terminellus
Azenia edentata
Seirocastnia tribuna
Neotuerta sabulosa
Neotuerta lycaon
Gerra sevorsa
Gerra aelia
Euscirrhopterus poeyi
Erocha mummia
Erocha leucotelus
Epithisanotia sanctijohannis
Darceta severa
Darceta ophideres
Darceta falcata
Alypiodes geronimo
Calymniodes pyrostorta
Cropia europs
Calymniodes conchylis
Cropia grandimacula
Cropia isidora
Neogalea sunia
Metaponpneumata rogenhoferi
Leucosigma uncifera
Leucosigma solisae
Leucosigma schausi
Leucosigma reletiva
Leucosigma poolei
Emarginea percara
Emarginea niphoplaga
Emarginea gammophora
Emarginea combusta
Emarginea anna
Dantona stillata
Cropia submarginalis
Cropia plumbicincta
Cropia philosopha
Cropia phila
Cropia perfusa
Cropia minthe
Cropia hadenoides
Trogoptera sao
Acronicta velia
Trogoblemma modesta
Drobeta exscendens
Drobeta crepuscula
Drobeta bullata
Charoblemma unilinea
Chalenata noxia
Chalcoecia patricia
Chalcoecia gloria
Chalcoecia emessa
Acontia viridifera
Acontia chea
Stigmella intronia
Stigmella gallicola
Stigmella costaricensis
Ozadelpha conostegiae
Enteucha gilvafascia
Acalyptris janzeni
Zaphanta infantilis
Menevia parostia
Menevia menapia
Drobeta grandis
Trogotorna persecta
Drobeta melagonia
Drobeta tiresias
Trogoblemma cacodoxica
Spragueia perstructana
Spragueia apicalis
Ponometia carmelita
Ponometia bruchi
Orotermes japyx
Oenoptera leda
Neocodia asna
Mictochroa zonella
Mictochroa dolens
Mictochroa ambigua
Masoga rava
Lambana ziha
Lambana necoda
Lambana harsha
Eusceptis splendens
Eusceptis obscura
Eusceptis lelae
Eusceptis effusa
Drobeta perplexa
Nephelistis differens
Semyra coarctata
Prolimacodes triangulifera
Euglyphis limba
Euglyphis libnites
Euglyphis lepta
Euglyphis laverna
Euglyphis larundina
Euglyphis larunda
Euglyphis laronia
Euglyphis lankesteri
Euglyphis lanea
Euglyphis juliana
Euglyphis jessiehillae
Euglyphis isolina
Euglyphis indentata
Euglyphis inconspicua
Euglyphis gutturalis
Euglyphis gera
Euglyphis fibra
Euglyphis elena
Euglyphis egra
Euglyphis lola
Euglyphis durtea
Euglyphis maria
Euglyphis modesta
Euglyphis varma
Euglyphis torrida
Euglyphis thyatira
Euglyphis suramis
Euglyphis submarginalis
Euglyphis sonia
Euglyphis sobrina
Euglyphis sigurda
Euglyphis serapion
